X,Y,Z
0.09,0.028,0
0.0838,0.05292,2.52E-05
0.080712,0.0758548,6.89E-05
0.0802263,0.0976955,0.000128262
0.0819732,0.119182,0.000203219
0.0856941,0.140942,0.000295497
0.0912189,0.163527,0.000408397
0.0984497,0.187433,0.000546674
0.107348,0.213124,0.000716623
0.117926,0.241049,0.000926297
0.130238,0.271657,0.00118585
0.14438,0.305405,0.00150803
0.160482,0.342775,0.00190876
0.178712,0.38428,0.00240795
0.199268,0.430472,0.00303049
0.222389,0.481956,0.00380748
0.248346,0.539397,0.00477776
0.277451,0.603528,0.00598992
0.310058,0.675162,0.00750468
0.346569,0.755204,0.00939795
0.387432,0.844658,0.0117646
0.433155,0.944647,0.0147234
0.484304,1.05642,0.0184226
0.541516,1.18137,0.0230476
0.605501,1.32106,0.0288303
0.677057,1.47721,0.0360605
0.757073,1.65177,0.0451005
0.846543,1.84689,0.0564029
0.946578,2.06498,0.0705336
1.05842,2.3087,0.0881993
1.18345,2.58104,0.110283
1.32321,2.88529,0.137887
1.47941,3.22511,0.172389
1.65398,3.60454,0.215504
1.84904,4.02805,0.269376
2.06694,4.50052,0.336673
2.3103,5.0273,0.420718
2.582,5.61419,0.525645
2.88522,6.26744,0.656586
3.22344,6.99368,0.819906
3.60046,7.79988,1.02348
4.0204,8.69316,1.27702
4.48768,9.6806,1.59246
5.00697,10.7689,1.98443
5.58316,11.9638,2.47071
6.22122,13.2695,3.07278
6.92605,14.6876,3.81636
7.7022,16.2157,4.73186
8.55355,17.8457,5.85464
9.48276,19.5614,7.22496
10.4906,21.3359,8.88725
11.5751,23.1275,10.8885
12.7304,24.8769,13.2752
13.945,26.5027,16.0881
15.2008,27.8988,19.3549
16.4706,28.9339,23.0796
17.7169,29.455,27.2298
18.8907,29.2969,31.7222
19.9314,28.3008,36.4107
20.7683,26.3414,41.0804
21.3256,23.3614,45.4556
21.5292,19.4053,49.2254
21.3168,14.6416,52.0906
20.6493,9.35982,53.8226
19.5203,3.93404,54.3201
17.9617,-1.24307,53.6395
16.0412,-5.83592,51.9858
13.8535,-9.62518,49.6634
11.5056,-12.5301,47.0056
9.10207,-14.5915,44.3104
6.73272,-15.9302,41.8007
4.46643,-16.7,39.6135
2.34979,-17.0517,37.8112
0.409637,-17.1117,36.4022
-1.3425,-16.975,35.3614
-2.90576,-16.7065,34.6463
-4.28583,-16.3463,34.2079
-5.49187,-15.9168,33.9963
-6.53436,-15.4283,33.9638
